round,server_eval_loss,client_train_loss,client_eval_loss
1,0.9402285915613174,0.13359778752064874,0.9699151927607699
2,0.7628735393285752,0.0693088215867697,0.7945097936723382
3,0.7392110049724578,0.054861197264212534,0.7710277045020055
4,0.7131924766302109,0.04503049052758025,0.7442136108388379
5,0.7101580783724785,0.04466815474687543,0.7409924082074154
6,0.6914402738213539,0.03713875408482401,0.7210699433250607
7,0.6527396714687348,0.03458824423172744,0.681441960573159
8,0.6353948242962361,0.031153099744256195,0.664748880640512
9,0.5963398826122284,0.03218041129353082,0.6261897653102597
10,0.5630376286804676,0.024664651420139513,0.5934912066807418
11,0.5341430895030499,0.02494878217823808,0.5651261338143116
12,0.49942140772938726,0.022642394989333216,0.5307745908151461
13,0.45988872930407526,0.024301838922859687,0.4917015113912768
14,0.4416007700562477,0.020352773749048408,0.47342747634978904
15,0.41510413751006126,0.01946077685868136,0.4471848442092971
16,0.38715968787670135,0.020476576243274616,0.419148929782441
17,0.3799654644727707,0.017748490176444913,0.41175358489019687
18,0.34925682201981545,0.017628873921931944,0.3810600978128662
19,0.3151970501244068,0.016074405047754863,0.3476199804568394
20,0.305429098084569,0.015760053422514127,0.3376736080080951
21,0.29779074892401697,0.014905157892836607,0.32983686444100013
22,0.29002290792763236,0.014578589617910311,0.32227152830506667
23,0.2686589775979519,0.013200502517818805,0.300947157054609
24,0.23712167158722877,0.013979854015995937,0.2696757484895985
25,0.21809267610311509,0.011934065193689983,0.25152300534811317
26,0.21055353127419948,0.011739353837277876,0.24449203654102203
27,0.19666576460003854,0.011576181803914419,0.23084332398245505
28,0.19288437493145466,0.012195069663740442,0.22664430649800896
29,0.18831093057990075,0.011134326594324721,0.2221105038630053
30,0.1784692070633173,0.011104183226701736,0.21282797433596617
31,0.16320500127971171,0.010371246271084666,0.19834078655195322
32,0.1576175405830145,0.009633555172689537,0.19256354043592366
33,0.14464213006198406,0.009228455901704938,0.1794483153064566
34,0.13434918820858002,0.009427310958012435,0.16966264750005486
35,0.13983937695622445,0.00828628518466124,0.17478990886585966
36,0.1280409776419401,0.008907027053336762,0.16361393907079408
37,0.12406311310827732,0.008428015845958392,0.1599765180617758
38,0.11743370294570923,0.009088509862198214,0.15335907323953604
39,0.10434779424220324,0.00894965997124407,0.1404990500009109
40,0.1025624518468976,0.009561410980156811,0.13877899125390514
41,0.09925807736814023,0.0077258435915827355,0.1355366697156723
42,0.09696950305253267,0.008075339283627553,0.13319451341693161
43,0.09781323291361332,0.00778934927983801,0.1339181188167342
44,0.09637870650738478,0.007935008440588996,0.13269675152544472
45,0.08646580860018731,0.008107321701171847,0.12292341629873813
46,0.07750647392123938,0.007593783025819763,0.11442982754931982
47,0.08948905285447836,0.00736841383930222,0.12566663192293004
48,0.08052522022277117,0.007004243061136012,0.11733237484936311
49,0.08324717551469803,0.006677036350111049,0.12016862369265183
50,0.07814874466508627,0.006903789102952275,0.11514093528380573
51,0.06952528432011604,0.006603657002099755,0.10656896336053745
52,0.06478884976357221,0.006366473629388444,0.10172387580289943
53,0.07234273884445429,0.007000630624871415,0.1090862128744739
54,0.06344275537878274,0.006345413744623285,0.1004401462828988
55,0.06778337314724922,0.005935987080193498,0.10480923996471168
56,0.06024299714714289,0.006437941404442847,0.09745970030051933
57,0.06160811088979244,0.006526869281697684,0.09893178926003318
58,0.06307726472616196,0.005988945130875691,0.10059914763938016
59,0.05931059084832668,0.006267260833715602,0.09624092462898895
60,0.055077291801571844,0.006062846481252184,0.09251412052631987
61,0.05421305611729622,0.005647573095414837,0.0916956945083842
62,0.057138105388730764,0.005702780871009686,0.09454548777888075
63,0.05649575818330049,0.005610160985366012,0.09356640780773809
64,0.0526626118645072,0.006161543735754718,0.08971294124707085
65,0.04945633890107274,0.006675072023528262,0.08638750645657728
66,0.051468214765191075,0.005866392594540273,0.08868776359199183
67,0.048233338873833416,0.005695746115760287,0.08565943534540936
68,0.04566071353852749,0.005138847972747771,0.08299266252824918
69,0.04850331366062164,0.005263804021425227,0.08559295124297818
70,0.045397608056664464,0.004957178703304955,0.08269067192849341
71,0.04839606571942568,0.005025854699210571,0.08579183471372469
72,0.044700933285057545,0.005257483542671524,0.08247903931646594
73,0.0429778852686286,0.005001421790376151,0.0807382161758645
74,0.041943447925150396,0.005168123928503541,0.07959680677642185
75,0.03999640688300133,0.005522083628427234,0.07716072406877628
76,0.03557661332190037,0.005418660663672507,0.07317329982032593
77,0.03499269600957632,0.0048028122515337,0.07290537892105979
78,0.03753768045455217,0.004941457834682921,0.07535227604831203
79,0.03693453436717391,0.0046595068744989835,0.07469135084830851
80,0.031922385711222884,0.004754013787346856,0.06998751078838047
81,0.03656436081975698,0.004507585198439526,0.07424618108667222
82,0.03356059700250626,0.004666131139153983,0.07124164776323962
83,0.03696052284911275,0.0047147677556153966,0.07452863286498863
84,0.036712881624698636,0.00480348737767694,0.07428323888018482
85,0.033133901543915274,0.004381926513166715,0.07072477341509842
86,0.03221047457307577,0.0043939732975011025,0.06997875893195603
87,0.03272934000939131,0.004675773936096696,0.07041567984085087
88,0.03245982717722654,0.004541515248664099,0.07046166288506198
89,0.028277052361518146,0.004634264269753848,0.06623377743439886
90,0.028028361164033413,0.004093235717133803,0.06586558847974672
91,0.03281357955187559,0.004549560231849935,0.07069275596794843
92,0.031287615317851306,0.004234856055744051,0.06911376658565235
93,0.025511584486812355,0.004358445289704983,0.06351296539053969
94,0.02936355186626315,0.004689611589268613,0.06721470596898632
95,0.030250097271054984,0.004641216241524346,0.06809524535550848
96,0.029311379212886096,0.003923140702119151,0.06742553033653026
97,0.028071610406041145,0.0042203379481925455,0.06612851274405698
98,0.024132145550101996,0.004639938512972475,0.06226144987330309
99,0.02770862018689513,0.004264598223829698,0.06565990928155918
100,0.02497796593233943,0.004349686379022671,0.06314084302145054
