round,server_loss,train_loss,eval_loss
1,0.8202570655516216,0.11950064163791024,0.8853161478620247
2,0.5290508584252426,0.05319585199380912,0.5999794098188219
3,0.4690913792167391,0.044153406644388146,0.5409578884593332
4,0.4375644363462925,0.04173134907826159,0.5090323938366731
5,0.3605234008282423,0.031489706976402076,0.4285868999511022
6,0.3343149506087814,0.023765800067198202,0.40092318765045243
7,0.3046876434236765,0.023618232176715555,0.3701789576185666
8,0.2789054795035294,0.017136741220489395,0.34418121551078135
9,0.2572236377745867,0.01681630751182095,0.3229391274967714
10,0.24236850533634424,0.017675714165112502,0.3084169244318769
11,0.2153912734772478,0.01528374953448229,0.2818223950077273
12,0.21130841797483818,0.014087389458239468,0.27897904720894334
13,0.18909812439233065,0.012317786503404869,0.2567041235792361
14,0.18333313866917575,0.011873548428757118,0.2507263760643187
15,0.165638426850949,0.010552455721294441,0.23374817862411745
16,0.15598556193123972,0.011016230517242502,0.2243447406206336
17,0.13586474323113049,0.011600918120881574,0.2038160966661586
18,0.12147328736526626,0.010253920656407504,0.1888134848013791
19,0.12473159170310412,0.009997506382644444,0.1928355015389016
20,0.11510286686409797,0.009447094110382161,0.18379825790718232
21,0.11614822509831615,0.00978154389239977,0.184907500006034
22,0.10113887302577496,0.009646870388653637,0.16901250005527116
23,0.1162752798492355,0.009650956648710286,0.18590108159329374
24,0.11226895331804242,0.009316745797039993,0.18213874495553783
25,0.09445962755541716,0.008485946442840469,0.16387567128572683
26,0.07606769965163299,0.008004322183794259,0.1452192055094902
27,0.06929003460598844,0.008445298517576005,0.13807216263858785
28,0.07962014552737985,0.008092383018749826,0.14947931128604433
29,0.08135047794452735,0.007838861768397149,0.1508279786509661
30,0.07332828780636191,0.007693511741648449,0.1428247201858271
31,0.07901199714147619,0.0075075887837261195,0.14885610441391325
32,0.0755094364285469,0.007087367510933432,0.14514539162477338
33,0.07749285901497517,0.007095368405224459,0.14735254888038615
34,0.07300705203254308,0.006751427595344965,0.1429982266663576
35,0.06915789543251906,0.006900085913628217,0.13931335887181695
36,0.05867572737458561,0.006506466710205498,0.1284603930488561
37,0.06565471825056843,0.006942973604126506,0.13562124383283308
38,0.06960665607558829,0.006830188410458739,0.13972715722380133
39,0.06446956167928874,0.006407396997412103,0.13453924495449146
40,0.07014371138731283,0.006505268900433932,0.14076371540316285
41,0.056405280284317474,0.006309411706840755,0.1262961008745873
42,0.057848041178658605,0.006057367706043357,0.12768035634832087
43,0.04946378761503313,0.006231974650511911,0.11873732033817536
44,0.05065130429076297,0.00597715721711842,0.1202550762640829
45,0.04861548473127186,0.0063772808979204,0.11837830737963727
46,0.04500966635532677,0.005939411773287391,0.11483555570300928
47,0.045807498008278866,0.005406911740828099,0.11611589901041805
48,0.05218064475671521,0.005597947934105858,0.1227630433339271
49,0.04317775817721018,0.0055837786339030734,0.11303227374803591
50,0.05354971032855766,0.005526347199816102,0.12465556503372927
51,0.04085522454365024,0.005781432428156808,0.11111088510137945
52,0.04305063322785178,0.0057078276125539455,0.11342900375614742
53,0.03683391140241708,0.0057196831821821476,0.10663687151975523
54,0.03355046050689582,0.005525068091767337,0.1029926468465334
55,0.037887697972889454,0.005037522856184357,0.1081801015125962
56,0.0353814245567524,0.005117153742656554,0.10567952808979446
57,0.03266907534894666,0.004831816546430499,0.1023002409307282
58,0.04105553569804345,0.0049891360682425365,0.11131847618906515
59,0.03308853082957545,0.005015645802130995,0.10266769916805392
60,0.034366967206421704,0.004671000133323959,0.10401934273238184
61,0.0378085241453456,0.005027293596359223,0.10827339096849259
62,0.028137795494071076,0.004760247064520652,0.09762148227945355
63,0.026192191439414664,0.004492792101606675,0.0953230703375124
64,0.03137157215470714,0.004603732330687227,0.10109604595983561
65,0.03385149492948715,0.00468198804463605,0.10405402851075574
66,0.030472260949734067,0.0047186673472333135,0.10030352378029973
67,0.029205391881987453,0.004319049337092776,0.09887849814452698
68,0.03932711934404714,0.004670583660352756,0.11016058977954532
69,0.026515611364240094,0.004398346656542077,0.09656604865819744
70,0.027789478838842894,0.004284489581392664,0.09775975001599546
71,0.028520698309876025,0.004406183551017217,0.09839573321215757
72,0.02857003963020231,0.004358992152884953,0.09825548004364891
73,0.0259437533927017,0.004643504013815573,0.0959562575492719
74,0.026947793451004794,0.004154773757046562,0.09688499562504767
75,0.025586117557915195,0.004231965083912404,0.09523012966657876
76,0.029477479252299026,0.003909385890506297,0.09938261070337984
